SMILES_solute,SMILES_solvent,T/K,COSMO-SAC1,lngamma1,x1,dlnr1,index
c1ccccc1,CS(C)=O,313.15,0.466033261,1.2528,1.00E-08,0.786766739,226
c1ccccc1,CS(C)=O,353.15,0.517408065,0.9821,1.00E-08,0.464691935,227
c1ccccc1,CS(C)=O,343.15,0.507504623,1.1053,1.00E-08,0.597795377,228
c1ccccc1,CS(C)=O,328.15,0.48916101,1.1346,1.00E-08,0.64543899,229
c1ccccc1,CCC#N,333.15,0.274320364,0.392,1.00E-08,0.117679636,230
c1ccccc1,CCC#N,298.2,0.287025792,0.4574,1.00E-08,0.170374208,231
c1ccccc1,CCC#N,333.2,0.274298429,0.392,1.00E-08,0.117701571,232
c1ccccc1,CCC#N,373.2,0.254846585,0.3365,1.00E-08,0.081653415,233
c1ccccc1,CCC#N,298.15,0.287039176,0.4574,1.00E-08,0.170360824,234
c1ccccc1,CCC#N,293.2,0.288277137,0.6098,1.00E-08,0.321522863,235
c1ccccc1,C[N+](=O)[O-],333.15,1.532210024,1.0647,1.00E-08,-0.467510024,236
c1ccccc1,C[N+](=O)[O-],373.15,1.300063028,0.9555,1.00E-08,-0.344563028,237
c1ccccc1,C[N+](=O)[O-],298.2,1.780124981,1.1632,1.00E-08,-0.616924981,238
c1ccccc1,C[N+](=O)[O-],298.15,1.780514514,1.1632,1.00E-08,-0.617314514,239
c1ccccc1,C[N+](=O)[O-],293.2,1.819610647,1.3507,1.00E-08,-0.468910647,240
c1ccccc1,C[N+](=O)[O-],358.9,1.377194232,1.1184,1.00E-08,-0.258794232,241
c1ccccc1,C[N+](=O)[O-],371.5,1.308702279,0.9746,1.00E-08,-0.334102279,242
c1ccccc1,OCCOCCO,333.15,0.777839687,1.8718,1.00E-08,1.093960313,243
c1ccccc1,OCCOCCO,373.15,0.739452198,1.8245,1.00E-08,1.085047802,244
c1ccccc1,OCCOCCO,343.15,0.769266668,1.8703,1.00E-08,1.101033332,245
