Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
c1ccc(CNC2CC2)cc1,70,0,0,0,0,0,0,0,0,0,0,0,0.022,0.141,0.641,1.045,0.889,0.831,2.032,6.582,12.872,16.557,17.48,17.039,15.425,12.422,11.042,11.812,12.071,12.536,12.833,11.727,9.52,7.647,5.011,1.954,0.601,0.28,0.413,0.483,0.346,0.449,0.622,0.529,0.405,0.356,0.253,0.104,0.015,0,0,0,206.4404
CNC(=O)Oc1ccc(C)c(N(C)C)c1,71,0,0,0,0,0,0,0,0.121,0.665,1.358,1.341,0.907,0.727,0.722,0.698,0.518,0.946,2.815,8.15,16.142,20.998,20.92,18.265,16.727,18.935,21.073,17.629,11.971,10.016,9.985,8.96,7.158,5.493,4.276,3.568,2.839,2.55,3.791,4.724,3.809,2.198,1.091,0.424,0.07,0.008,0,0,0,0,0,0,265.7253
NC(=O)N1Cc2ccc(Cl)cc2CO1,72,0,0,0,0,0,0,0,0.049,0.402,1.232,2.113,2.362,1.976,1.474,1.283,3.066,7.301,11.485,13.176,11.48,8.69,7.5,7.371,7.933,9.451,10.274,10.986,14.45,18.643,18.944,13.813,6.777,3.189,2.487,2.355,2.351,1.902,2.175,3.594,4.419,3.626,1.873,0.573,0.11,0,0,0,0,0,0,0,230.5237
CCCP(=O)(O)OCC,73,0,0,0.09,0.352,0.879,1.197,0.785,0.582,1.031,1.097,0.614,0.411,0.481,0.442,0.42,0.731,1.874,3.532,5.884,10.111,14.821,17.627,17.233,14.291,11.883,11.531,11.938,10.047,5.445,2.109,1.559,1.983,2.505,2.541,2.691,3.655,3.587,2.781,2.509,2.752,4.086,4.959,3.388,0.974,0,0,0,0,0,0,0,187.9314
C#Cc1ccc(O)cc1,74,0,0,0,0.063,0.319,0.751,1.06,1.196,1.277,1.099,0.737,0.589,1.258,2.361,2.354,1.956,3.433,6.731,8.024,6.103,4.651,4.793,4.887,4.066,3.813,5.715,9.23,11.364,12.077,14.333,13.714,9.245,7.579,6.764,3.843,2.174,2.086,1.488,0.464,0.013,0,0,0,0,0,0,0,0,0,0,0,153.4315
CCN(CC)C(=O)CC(O)C(Cl)(Cl)Cl,75,0,0,0,0,0,0,0,0,0,0,0,0.021,0.079,0.095,0.3,1.557,3.72,6.06,9.562,15.484,19.503,17.51,16.299,18.803,17.884,15.507,18.244,20.41,19.215,16.268,8.705,2.876,3.037,3.526,2.561,2.178,2.633,3.103,3.141,2.751,2.106,1.063,0.231,0.008,0,0,0,0,0,0,0,285.4412
O=[N+]([O-])C(c1ccccc1O)[N+](=O)[O-],76,0,0,0.041,0.23,0.687,1.125,1.33,1.419,1.302,1.189,1.216,1.3,1.488,1.621,2.178,3.517,5.638,7.853,8.002,6.208,4.836,4.84,5.399,6.07,7.003,7.976,9.251,11.32,15.701,21.405,21.046,14.442,9.813,7.206,4.384,2.337,0.793,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,209.7337
NC(=O)N(c1ccccc1)c1ccccc1,77,0,0,0,0,0,0,0,0.027,0.337,1.328,2.167,1.941,1.663,1.772,1.5,1.176,2.666,8.076,15.806,18.555,15.149,11.641,9.757,9.669,10.511,11.613,13.537,15.387,16.307,16.457,14.83,10.539,6.387,3.683,2.054,1.631,1.554,1.224,1.556,3.036,3.974,3.199,1.67,0.544,0.073,0,0,0,0,0,0,263.572
CC(=O)N(CCc1ccccc1)C(C)=O,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,1.989,6.275,11.783,18.265,21.645,18.331,14.611,14.391,16.426,16.982,12.68,8.301,7.565,8.291,8.754,8.132,6.601,5.446,3.893,2.252,2.686,5.365,6.817,5.416,4.226,3.194,2.084,1.582,0.736,0.089,0,0,0,0,0,0,266.6705
CN(C)CCSc1cc2ccccc2n1C,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758,3.142,7.178,13.158,18.85,20.813,20.526,21.003,21.002,18.995,16.825,15.62,13.768,12.166,12.775,13.044,12.899,12.783,10.451,6.505,2.682,0.532,0.12,0.413,0.969,1.01,0.449,0.289,0.513,0.453,0.216,0.057,0,0,0,0,299.9847
FC(F)(F)C(F)(I)C(F)(F)F,80,0,0,0,0,0,0,0,0,0,0,0,0.052,0.224,0.672,1.393,1.466,0.649,0.863,2.381,3.151,2.603,1.713,1.928,6.124,16.727,35.069,47.743,33.915,9.509,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.5587
CN(C(=O)CBr)c1ccccc1,81,0,0,0,0,0,0,0,0,0,0,0,0,0.102,1.119,2.989,4.187,5.41,9.551,15.414,16.592,13.164,10.935,10.256,9.826,9.454,9.397,9.354,8.419,9.178,12.159,13.593,12.413,8.842,4.397,2.262,2.052,2.101,2.262,2.741,3.056,2.606,1.686,0.7,0.116,0,0,0,0,0,0,0,225.475
COS(=O)OC(C)CCC(C)OS(=O)OC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,3.029,10.526,18.6,23.349,26.722,28.798,27.199,22.752,18.088,15.997,14.191,8.725,4.27,3.545,3.083,3.059,5.558,8.441,9.82,12.254,14.601,11.546,4.649,0.608,0,0,0,0,0,0,0,0,0,0,0,316.8343
CCN(CC)C(=O)SCc1ccccc1Cl,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,2.619,7.939,13.73,17.92,19.686,18.87,18.262,17.496,16.72,17.241,20.821,25.186,23.565,19.021,14.154,7.76,3.393,1.668,1.162,1.546,2.163,3.043,3.844,3.184,1.291,0.153,0,0,0,0,0,0,0,0,0,309.7232
C[C@@H](N)C(=O)N[C@H]1CO[C@H](O)[C@H](N)[C@H]1O,84,0,0,0,0,0,0.082,0.596,1.751,2.445,2.274,2.319,2.647,3.27,4.473,5.418,5.752,6.654,9.065,13.064,16.135,15.195,12.569,10.791,9.436,8.484,7.563,7.909,8.084,5.211,2.771,3.315,4.076,3.833,3.679,3.746,4.276,5.564,6.852,7.947,8.373,6.995,4.547,2.291,1.204,1.129,1.126,1.001,0.672,0.28,0.049,0,259.9241
CS(=O)(=O)OCCCCO,85,0,0,0,0,0,0,0.044,0.348,1.008,1.248,0.842,0.82,1.234,2.104,3.819,5.309,5.863,6.258,6.866,8.795,14.785,21.057,19.135,11.904,7.469,5.405,3.779,3.096,2.861,2.962,3.918,4.793,5.037,6.015,7.711,9.355,9.521,6.686,3.165,1.547,1.607,1.868,1.271,0.371,0.005,0,0,0,0,0,0,192.8498
O=C(C=Cc1cccc(Cl)c1)NCCO,86,0,0,0,0,0,0,0.116,0.61,1.541,1.998,1.49,1.54,2.444,2.538,2.179,3.541,6.641,9.849,12.77,14.095,12.611,10.225,9.136,10.793,13.889,15.169,15.849,19.163,22.473,20.492,12.997,4.86,1.3,1.152,1.158,1.424,2.01,3.061,4.909,6.189,5.565,3.51,1.342,0.21,0,0,0,0,0,0,0,268.1905
CC(=O)C=C=CC(C)(C)CCCC(C)=O,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.377,1.895,5.739,10.544,15.163,20.38,23.296,23.255,22.196,22.152,22.376,19.727,16.71,12.822,7.68,4.484,2.514,1.373,1.409,2.116,3.474,5.221,6.312,5.803,3.888,2.077,1.195,0.668,0.206,0.009,0,0,0,0,0,0,304.7592
N#CC(O)c1cccc(O)c1,88,0,0,0,0.082,0.59,1.41,2.017,2.364,2.413,2.171,1.7,1.137,0.96,2.045,3.609,3.843,4.609,7.213,8.223,6.524,5.099,4.913,4.86,4.478,4.78,6.408,8.482,9.836,10.296,10.617,10.289,8.879,7.457,6.852,6.226,6.07,6.455,5.333,3.176,1.195,0.131,0,0,0,0,0,0,0,0,0,0,180.934
CNC1CCCc2ccccc2C1,89,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.294,0.792,0.997,1.019,1.528,3.341,8.302,14.794,19.462,21.908,21.605,19.221,17.651,17.626,15.266,10.632,7.647,6.884,6.812,5.717,4.11,2.633,1.689,1.266,0.851,0.645,0.56,0.442,0.208,0.128,0.366,0.565,0.471,0.291,0.247,0.215,0.083,0,239.1744
COc1cccc2c1OC(C)C(C=O)=C2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,1.006,3.554,9.017,14.805,16.203,15.132,15.316,15.522,14.75,14.735,16.387,17.011,14.225,10.424,8.049,6.044,3.794,2.521,2.716,3.442,4.357,5.912,6.374,4.695,2.721,1.29,0.431,0.103,0,0,0,0,0,0,0,0,249.7312
COc1ccc2c(c1)C=C(C#N)C(C)O2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0.915,3.136,6.946,10.823,13.569,14.766,14.034,12.411,12.03,13.073,13.692,14.003,14.8,14.844,13.65,11.116,7.152,4.486,5.575,7.401,6.963,5.968,5.407,4.368,2.547,0.843,0.114,0,0,0,0,0,0,0,0,0,0,246.0855
O=CNC(N1CCOCC1)C(Cl)(Cl)Cl,92,0,0,0,0,0,0,0.18,0.695,1.121,1.188,1.027,0.69,0.481,0.592,0.786,1.673,3.777,6.27,8.863,13.163,17.867,18.09,16.117,15.444,13.071,11.134,13.451,16.525,17.019,12.903,6.02,2.524,1.701,1.578,2.247,2.86,4.113,5.375,5.509,4.833,3.41,1.511,0.285,0,0,0,0,0,0,0,0,268.3957
O=C(O)C[N+](=O)[O-],93,0,0,0.077,0.597,1.167,1.282,1.308,0.999,0.521,0.644,1.052,1.878,3.752,4.785,4.186,3.521,3.09,2.896,2.693,2.616,2.814,2.772,2.339,1.486,1.086,1.741,2.572,3.218,4.014,6.398,9.451,9.85,8.634,8.643,8.441,6.003,3.382,1.535,0.302,0.013,0,0,0,0,0,0,0,0,0,0,0,108.2221
CCC(O)(Cl)Cl,94,0,0.021,0.17,0.467,0.776,0.842,0.877,1.209,1.132,0.522,0.227,0.258,0.303,0.416,0.382,0.133,0.46,1.95,3.483,4.646,6.326,8.142,9.1,8.585,7.88,9.048,9.742,7.273,7.309,11.338,13.653,11.815,6.061,1.933,1.672,1.462,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.7053
COc1cccc2c1CCCC2N(C)C,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,1.549,5.125,10.497,16.248,22.236,25.908,24.25,20.869,19.992,19.771,16.604,12.198,9.35,8.436,8.192,6.856,5.469,3.996,2.608,1.886,1.14,0.469,0.239,0.372,0.363,0.161,0.022,0,0,0,0,0,0,0,270.4658
CCCCC(=O)N(C)C(C)=O,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,1.727,5.309,9.113,11.316,13.379,16.433,20.697,23.771,21.413,16.404,12.461,10.121,8.087,4.381,1.472,0.841,1.205,1.741,2.882,4.534,6.208,6.92,4.759,2.224,1.28,0.593,0.113,0,0,0,0,0,0,0,0,211.038
NNC(=O)CNc1ccc2ccccc2c1,97,0,0,0,0,0,0,0.024,0.363,1.025,1.264,1.579,3.254,4.903,5.08,4.561,3.976,4.772,8.555,13.804,16.653,14.801,11.123,9.545,8.735,7.468,7.815,9.368,9.813,10.644,13.484,16.409,17.158,14.334,9.024,3.981,1.267,1.238,3.054,4.36,3.246,1.792,1.279,0.956,0.919,1.006,0.94,0.599,0.187,0.023,0,0,261.22
O=C(O)CCNC(=O)c1cccnc1Cl,98,0,0,0,0.021,0.238,0.801,1.397,1.81,1.837,1.33,0.917,0.992,1.442,1.558,1.291,3.559,8.846,12.116,11.367,9.865,9.33,9.121,10.024,12.54,14.659,14.375,12.526,11.597,10.572,8.417,6.869,5.529,4.378,4.745,5.657,6.113,6.487,6.775,6.183,4.269,2.393,1.348,0.695,0.247,0.024,0,0,0,0,0,0,253.8686
O=CNc1nc(-c2ccco2)cs1,99,0,0,0.013,0.166,0.631,1.11,1.372,1.546,1.256,0.655,0.331,0.197,0.567,1.576,3.287,6.325,8.616,7.974,6.471,6.426,7.284,7.725,7.887,9.041,11.438,12.725,13.657,15.286,13.856,11.162,10.138,8.279,5.503,3.433,2.502,2.776,4.059,4.706,3.83,2.823,1.799,0.987,0.734,0.471,0.157,0,0,0,0,0,0,213.0637
Brc1ccc(C2SCCS2)cc1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,1.301,6.224,12.313,14.323,12.887,10.744,9.462,10.082,11.276,11.008,9.684,10.624,16.678,22.913,23.227,18.147,9.801,4.239,3.98,4.454,3.04,1.038,0.161,0.005,0,0,0,0,0,0,0,0,0,0,0,0,246.7501
ClC=C=CCl,101,0,0,0,0,0,0,0,0,0,0,0,0,0.684,2.804,4.329,3.485,2.038,1.348,1.448,1.885,3.266,4.763,4.318,5.168,8.474,9.771,10.203,15.32,19.977,17.45,10.5,3.258,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.8583
ClC=C=CCCl,102,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0.755,2.508,5.385,7.192,6.258,4.807,3.936,3.729,4.761,5.864,6.133,6.149,7.368,9.756,11.364,12.363,14.496,15.333,11.971,6.522,1.922,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0358
CC(C)OC(=O)NCCCOC(N)=O,103,0,0,0,0,0,0,0,0.208,1.432,3.304,3.604,2.893,2.924,2.851,2.409,2.141,2.143,2.658,6.064,13.394,19.127,19.493,17.013,15.601,15.868,15.962,16.653,14.556,8.276,5.086,5.156,4.393,3.406,3.119,3.658,4.51,4.92,5.954,8.153,8.279,5.127,1.877,0.362,0.015,0,0,0,0,0,0,0,253.75
CCSCC(=O)OCC(S)CS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,1.519,4.4,8.877,13.565,16.116,17.434,17.855,16.435,14.368,12.29,11.729,11.822,11.17,10.15,7.856,7.269,9.356,9.688,8.359,8.543,10.238,11.174,8.928,4.766,1.781,0.388,0,0,0,0,0,0,0,0,0,0,0,268.6672
COc1ccc(C(=O)OCC(S)CS)cc1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.758,3.353,8.893,16.818,21.985,20.21,15.461,12.926,12.985,13.637,13.516,12.583,12.993,14.754,15.277,15.687,14.448,10.412,7.583,6.914,7.015,7.366,7.265,5.648,3.119,1.222,0.287,0.015,0,0,0,0,0,0,0,0,0,304.9967
Nc1ccc(OCCCCCNC=O)cc1,106,0,0,0,0,0,0,0,0.067,0.623,1.462,2.363,3.281,3.485,3.383,3.209,2.844,2.855,5.264,10.656,15.451,18.89,21.251,21.165,19.407,17.209,14.281,11.546,10.187,8.871,8.591,9.874,10.293,9.179,7.583,6.274,5.361,4.44,3.966,4.906,5.269,3.843,2.424,1.329,0.406,0.052,0,0,0,0,0,0,288.9369
CC(C)(C)N=C(N)Nc1nccs1,107,0,0,0,0.037,0.436,1.098,1.33,1.421,1.582,1.631,1.859,2.074,2.055,1.852,2.101,3.106,4.174,5.029,5.013,4.799,7.194,11.643,15.393,16.033,13.952,13.652,16.337,20.002,21.168,16.408,9.359,5.376,3.759,2.602,2.115,2.254,1.989,1.546,1.932,2.223,1.931,2.018,1.898,1.111,0.55,0.407,0.444,0.489,0.338,0.098,0,248.3002
O=C=NCC(Br)=CBr,108,0,0,0,0,0,0,0,0,0,0,0,0.005,0.405,1.557,3.299,5.185,6.033,5.553,5.797,6.692,6.111,6.269,9.118,10.239,7.698,6.183,9.141,13.72,16.367,16.84,13.604,9.326,8.058,6.079,2.151,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.2346
C=C(Br)CNC(=O)C(Cl)Cl,109,0,0,0,0,0.037,0.314,0.995,1.335,1.233,1.567,2.013,2.201,1.985,1.567,1.742,3.323,6.038,6.997,5.661,5.316,7.189,8.207,7.51,9.346,11.541,9.3,7.394,13.036,20.902,22.491,17.738,8.994,3.114,1.707,1.021,1.487,3.086,3.884,3.176,1.988,0.908,0.291,0.067,0,0,0,0,0,0,0,0,216.4912
O=C(OCC(S)CS)c1ccc(Cl)cc1Cl,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,2.87,7.461,12.457,14.838,13.469,11.884,12.17,11.667,10.217,11.664,15.774,19.691,22.245,22.143,20.986,18.338,12.626,8.179,6.782,6.826,7.315,7.259,5.995,3.53,1.319,0.296,0.034,0,0,0,0,0,0,0,0,0,0,318.5795
O=CN1CCC(=O)Nc2ccccc21,111,0,0,0,0,0,0,0.056,0.339,0.745,1.154,1.266,0.724,0.34,0.506,0.832,2.83,7.973,13.319,15.077,13.501,10.913,10.008,11.083,11.29,10.106,9.595,10.032,9.32,7.98,7.779,6.848,4.277,2.127,1.856,2.32,2.565,4.101,7.123,7.935,5.788,3.83,2.167,0.695,0.118,0,0,0,0,0,0,0,220.3756
COc1ccc(COC=O)cc1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458,2.126,4.827,10.145,16.868,17.454,13.345,11.926,11.536,10.21,9.467,8.254,6.925,8.033,9.974,9.696,8.744,8.069,6.64,5.242,4.789,5.635,6.182,4.713,2.662,1.186,0.307,0.035,0,0,0,0,0,0,0,0,0,204.4589
CC(C)N=C=O,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.724,2.826,6.551,11.052,13.665,13.509,12.698,11.021,9.061,9.722,8.957,4.396,1.861,2.45,3.472,5.387,7.43,5.864,1.952,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.2728
CC(C)CN=C=O,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.747,2.708,5.26,9.647,14.827,17.21,16.997,14.294,10.252,9.479,11.469,9.27,4.05,2.173,2.696,4.721,7.021,5.615,1.936,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.4108
O=C=NCC1CCC(CN=C=O)CC1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,1.732,5.798,9.954,15.625,22.914,28.152,29.741,24.63,16.233,11.872,10.167,7.488,5.45,4.902,5.796,10.522,14.469,10.487,3.205,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.88
C=C=CC(C)C(=O)OCC,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,1.417,4.842,9.66,14.461,17.178,16.481,14.683,14.166,13.024,12.166,12.942,11.183,8.118,7.822,7.696,6.513,5.19,3.137,2.049,2.985,4.123,3.675,2.488,1.813,1.006,0.226,0,0,0,0,0,0,0,0,0,193.9224
CC1(C)C2CCC1(C)[C@@H](OC=O)C2,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,1.378,2.854,2.388,2.113,4.741,11.684,19.883,23.029,22.048,19.719,17.293,18.027,19.959,15.13,5.994,1.663,1.537,2.009,2.178,2.015,3.014,4.396,3.769,2.301,1.263,0.461,0.086,0,0,0,0,0,0,0,0,0,241.8589
CC(C)(C)N=C=O,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,1.576,6.551,12.834,15.542,14.586,13.582,12.409,12.283,13.739,10.745,4.451,1.827,2.311,3.088,5.102,7.513,6.146,2.146,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.1317
CC(c1ccccc1CNCCN)[N+](=O)[O-],119,0,0,0,0,0,0,0,0,0,0,0,0.019,0.356,1.536,2.848,3.291,4.45,8.452,13.625,15.827,15.972,18.304,20.541,18.889,16.642,14.707,11.956,10.678,10.461,10.439,11.498,12.768,10.556,6.338,4.336,3.871,3.295,2.084,1.001,0.782,0.872,0.888,1.013,0.922,0.694,0.66,0.535,0.437,0.479,0.269,0.032,284.9567
CCOS(=O)OC,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,1.984,6.174,10.559,12.383,13.135,14.676,14.508,11.542,8.396,7.112,6.225,4.094,2.308,1.54,1.382,1.82,3.067,4.713,5.501,6.892,8.171,5.896,2.186,0.362,0.002,0,0,0,0,0,0,0,0,0,0,141.7448
CC(C)NS(=O)(=O)c1ccc(O)c(N)c1,121,0,0,0,0.085,0.419,0.874,1.129,1.512,2.072,2.065,2.144,3.08,3.822,3.949,3.524,3.525,5.094,6.239,6.355,7.956,11.243,13.562,13.04,11.072,9.98,10.794,13.811,14.592,11.288,9.532,9.337,7.12,4.466,4.265,6.631,9.616,10.986,9.084,4.835,1.687,0.733,0.404,0.103,0,0,0,0,0,0,0,0,267.064
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,122,0,0,0,0,0,0,0,0,0,0,0,0.076,0.257,0.355,0.376,0.496,0.782,1.24,1.935,2.595,3.263,4.163,5.682,11.431,25.346,40.966,39.166,19.383,5.431,3.512,3.795,2.978,1.663,0.577,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.9412
O=S(=O)(OCCF)OCCF,123,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.722,4.693,12.871,17.218,13.928,11.264,10.072,6.985,4.405,3.073,2.839,3.1,2.636,2.256,3.297,5.185,7.352,11.417,16.817,19.8,17.564,11.446,5.354,1.513,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,188.5822
FC(F)(F)SCl,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,1.267,3.277,4.294,3.749,4.404,6.671,6.973,8.201,15.663,24.878,24.841,14.081,4.436,0.858,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.1542
CS(=O)(=O)OCCCCF,125,0,0,0,0,0,0,0,0,0,0,0,0,0.166,1.124,3.132,4.947,5.73,7.354,11.819,16.06,17.364,17.145,14.331,9.504,5.83,3.917,3.104,2.525,2.204,2.793,4.74,6.873,8.577,10.775,11.512,10.561,8.775,4.705,0.999,0,0,0,0,0,0,0,0,0,0,0,0,190.2681
CC(=O)C(O)(O)C(=O)O,126,0,0,0.21,0.865,1.368,1.312,1.148,0.899,0.95,1.651,1.993,1.598,1.262,1.49,2.087,2.716,3.727,5.188,5.757,5.201,5.453,6.217,6.757,7.062,5.62,3.702,3.652,4.673,4.895,4.188,4.65,6.027,7.259,8.763,7.998,5.771,4.999,4.146,2.998,1.93,0.629,0.01,0,0,0,0,0,0,0,0,0,142.3871
CC(C)C(C(=O)O)C(=O)O,127,0,0,0,0.119,0.768,1.856,2.581,2.706,2.173,1.181,0.647,1.227,1.898,1.317,0.791,1.512,2.122,1.964,2.23,4.631,8.521,11.696,12.933,11.2,8.522,7.7,9.327,9.835,6.7,5.082,5.672,4.871,4.239,4.781,5.851,7.507,7.632,5.749,3.474,1.184,0.037,0,0,0,0,0,0,0,0,0,0,178.1693
CC(=O)Oc1c(Br)cc(Br)cc1Br,128,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.862,2.326,3.978,5.959,8.58,10.399,8.194,5.585,8.79,13.641,14.121,13.33,18.819,26.4,24.81,22.111,19.816,9.779,2.518,2.3,3.022,3.592,3.893,3.207,1.827,0.713,0.166,0.009,0,0,0,0,0,0,0,0,0,0,260.6868
O=C(OCCCl)OCCCl,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,1.366,7.495,15.479,16.216,11.577,8.828,8.889,8.87,8.102,7.292,4.759,3.741,7.071,8.57,5.717,6.599,12.664,16.437,14.796,9.655,6.066,5.158,4.422,2.867,1.118,0.228,0,0,0,0,0,0,0,0,0,0,0,196.8979
CCOC(=O)C[N+](=O)[O-],130,0,0,0,0,0,0,0,0,0,0,0,0.47,2.531,4.364,3.952,3.273,3.469,5.188,7.94,9.357,9.931,10.3,9.013,6.477,4.738,5.43,6.334,4.87,3.604,5.326,9.1,10.329,8.176,7.3,8.028,6.931,4.194,1.828,0.489,0.058,0,0,0,0,0,0,0,0,0,0,0,151.6955
O=C(O)Cc1ccc(F)c(F)c1,131,0,0,0,0.03,0.257,0.767,1.145,1.256,1.258,0.838,0.322,0.415,0.838,0.861,1.019,3.636,8.071,9.764,8.028,6.128,5.058,4.978,6.88,8.919,9.258,8.846,9.343,11.584,14.274,16.516,15.055,8.385,2.819,2.199,3.63,4.363,4.084,3.242,2.375,1.201,0.258,0.042,0,0,0,0,0,0,0,0,0,187.6925
CC#Cc1ccccc1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,4.741,12.596,15.863,12.567,9.344,7.802,7.749,9.272,9.45,8.64,8.881,10.889,13.621,13.269,11.2,9.187,5.532,1.845,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.493
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl,133,0,0,0,0,0,0,0,0,0,0,0,0.157,0.515,0.703,0.759,0.977,1.275,1.931,3.445,4.802,5.465,6.049,7.457,13.336,25.943,39.03,37.797,20.819,7.52,5.805,7.316,6.78,3.997,1.249,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.2981
CCOS(=O)(=O)OC,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,1.338,5.614,9.716,10.11,11.422,14.225,13.465,9.881,6.465,5.266,5.926,5.315,3.388,2.846,3.234,3.996,6.733,9.495,10.168,9.693,7.547,3.686,0.792,0,0,0,0,0,0,0,0,0,0,0,0,0,149.5645
O=CC1CCCC1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,1.929,6.253,12.603,17.146,17.37,15.721,13.593,11.53,10.671,8.372,3.987,1.081,0.671,0.926,0.932,1.27,2.104,3.281,3.844,3.096,2.299,1.882,1.177,0.411,0.056,0,0,0,0,0,0,0,0,136.189
C#Cc1ccc(Cl)cc1,136,0,0,0,0,0,0,0,0,0,0,0.111,0.62,1.442,1.668,1.258,2.523,6.228,8.091,6.509,4.963,5.118,5.839,4.905,4.056,6.525,10.572,14.102,18.002,21.354,19.187,11.633,6.737,5.66,3.312,0.75,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.9647
CCCOP(OCCC)OCCC,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,6.364,19.512,33.446,36.188,31.445,27.29,23.512,21.628,20.37,14.348,5.829,2.035,1.783,1.438,1.567,2.141,2.499,2.648,3.057,4.373,5.175,3.276,0.84,0.049,0,0,0,0,0,0,0,0,273.8793
CC(C)(C)OC(=O)CC#N,138,0,0,0,0,0,0,0,0,0,0,0,0,1.117,3.772,4.684,3.019,2.338,3.059,5.079,9.161,13.645,15.942,14.111,11.191,9.716,12.171,15.246,10.035,3.815,2.952,3.076,3.869,5.917,7.795,7.561,6.2,5.617,4.378,2.216,0.646,0.052,0,0,0,0,0,0,0,0,0,0,188.5631
CC(C)C(=O)C1CCCCC1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,4.29,11.877,20.437,26.831,27.688,22.918,18.785,18.94,17.928,11.418,4.204,1.009,0.707,1.125,1.428,1.604,1.713,1.963,2.763,3.275,2.663,1.485,0.435,0,0,0,0,0,0,0,0,0,221.5152
N#CC1CCC=CO1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,1.56,2.475,3.382,5.971,8.599,10.085,10.986,9.996,7.864,7.42,7.895,7.077,6.006,5.72,5.415,5.043,5.103,6.022,6.965,6.514,5.3,4.323,3.447,2.207,0.929,0.208,0,0,0,0,0,0,0,0,0,0,0,139.6982
